,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
81,Tunnel_FB_2025_06_12_JAS_FL_Pasha_14-17-26,1124.0666666666666,67444,1137.45,68247.0,Pasha,latency,latency,,,,
82,Tunnel_FB_2025_06_16_JAS_FL_Kimi2_12-50-20,782.45,46947,812.45,48747.0,Kimi2,man_check_duration,man_check_duration,,,,
83,Tunnel_FB_2025_06_16_JAS_FL_Kimi2_12-50-20,783.1,46986,812.45,48747.0,Kimi2,latency,latency,,,,
84,Tunnel_FB_2025_06_19_FL_JAS_Clooney2_13-22-49,796.6166666666667,47797,826.6166666666667,49597.0,Clooney2,man_check_duration,man_check_duration,,,,
85,Tunnel_FB_2025_06_19_FL_JAS_Clooney2_13-22-49,801.15,48069,807.95,48477.0,Clooney2,latency,latency,,,,
86,Tunnel_FB_2025_06_16_JAS_FL_Louie3_16-05-06,707.6166666666667,42457,737.6166666666667,44257.0,Louie3,man_check_duration,man_check_duration,,,,
87,Tunnel_FB_2025_06_16_JAS_FL_Louie3_16-05-06,708.3833333333333,42503,728.0,43680.0,Louie3,latency,latency,,,,
88,Tunnel_FB_2025_06_24_JAS_JH_Finch2_17-22-09,859.9997042784563,51600,889.9996939625885,53400.0,Finch2,man_check_duration,man_check_duration,,,,
89,Tunnel_FB_2025_06_24_JAS_JH_Finch2_17-22-09,860.6330373940102,51638,862.1663702000881,51730.0,Finch2,latency,latency,,,,
90,Tunnel_FB_2025_06_19_JAS_FL_Aoife_15-14-26,1037.6,62256,1067.6,64056.0,Aoife,man_check_duration,man_check_duration,,,,
91,Tunnel_FB_2025_06_19_JAS_FL_Aoife_15-14-26,1038.2333333333333,62294,1067.6,64056.0,Aoife,latency,latency,,,,
92,Tunnel_FB_2025_06_23_FL_JAS_Leia5_14-15-19,953.4658192852374,57208,983.4657926231173,59008.0,Leia5,man_check_duration,man_check_duration,,,,
93,Tunnel_FB_2025_06_23_FL_JAS_Leia5_14-15-19,954.7991514335877,57288,983.4657926231173,59008.0,Leia5,latency,latency,,,,
94,Tunnel_FB_2025_07_01_JH_JAS_Bärli_09-58-49,1153.2666666666667,69196,1183.2666666666667,70996.0,Bärli,man_check_duration,man_check_duration,,,,
95,Tunnel_FB_2025_07_01_JH_JAS_Bärli_09-58-49,1153.9,69234,1171.2666666666667,70276.0,Bärli,latency,latency,,,,
96,Tunnel_FB_2025_06_23_FL_JAS_Fleeti_15-01-13,788.449446680574,47307,818.4494256271366,49107.0,Fleeti,man_check_duration,man_check_duration,,,,
97,Tunnel_FB_2025_06_23_FL_JAS_Fleeti_15-01-13,789.0994462244163,47346,794.7327756043819,47684.0,Fleeti,latency,latency,,,,
98,Tunnel_FB_2025_06_25_JAS_JH_Paddy_10-01-51,919.7166666666667,55183,949.7166666666667,56983.0,Paddy,man_check_duration,man_check_duration,,,,
99,Tunnel_FB_2025_06_25_JAS_JH_Paddy_10-01-51,920.4666666666667,55228,949.7166666666667,56983.0,Paddy,latency,latency,,,,
100,Tunnel_FB_2025_06_30_JAS_FL_Nico7_11-02-22,1050.9663681205386,63058,1080.966359598495,64858.0,Nico7,man_check_duration,man_check_duration,,,,
101,Tunnel_FB_2025_06_30_JAS_FL_Nico7_11-02-22,1051.3997013307758,63084,1054.016367254131,63241.0,Nico7,latency,latency,,,,
102,Tunnel_FB_2025_07_04_JAS_JH_Heidi6_10-22-49,747.8991829910472,44874,777.899150218927,46674.0,Heidi6,man_check_duration,man_check_duration,,,,
103,Tunnel_FB_2025_07_04_JAS_JH_Heidi6_10-22-49,750.0825139392985,45005,777.899150218927,46674.0,Heidi6,latency,latency,,,,
104,Tunnel_FB_2025_06_30_JAS_FL_Amica_11-28-07,681.15,40869,711.15,42669.0,Amica,man_check_duration,man_check_duration,,,,
105,Tunnel_FB_2025_06_30_JAS_FL_Amica_11-28-07,682.7666666666667,40966,711.2,42672.0,Amica,latency,latency,,,,
106,Tunnel_FB_2025_07_02_JH_JAS_Ar-Raqim_12-05-24,1112.9666666666667,66778,1142.9666666666667,68578.0,Ar-raqim,man_check_duration,man_check_duration,,,,
107,Tunnel_FB_2025_07_02_JH_JAS_Ar-Raqim_12-05-24,1118.15,67089,1142.9666666666667,68578.0,Ar-raqim,latency,latency,,,,
