,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
53,Tunnel_FB_2025_05_28_JAS_JH_Amber3_13-26-43,1236.3,74178,1265.3666666666666,75922.0,Amber3,latency,latency,,,,
54,Tunnel_FB_2025_05_30_JH_JAS_Kukie_09-57-08,1095.6158224532958,65737,1130.2991290618315,67818.0,Kukie,man_check_duration,man_check_duration,,,,
55,Tunnel_FB_2025_05_30_JH_JAS_Kukie_09-57-08,1096.1658220295005,65770,1122.082468726412,67325.0,Kukie,latency,latency,,,,
56,Tunnel_FB_2025_06_05_JAS_JH_Lieserl_10-44-31,841.7658329041202,50506,873.1158018522184,52387.0,Lieserl,man_check_duration,man_check_duration,,,,
57,Tunnel_FB_2025_06_05_JAS_JH_Lieserl_10-44-31,842.9824983656891,50579,873.09913520206,52386.0,Lieserl,latency,latency,,,,
58,Tunnel_FB_2025_05_30_JAS_JH_Madlain_10-30-54,824.2333333333333,49454,853.3833333333333,51203.0,Madlain,man_check_duration,man_check_duration,,,,
59,Tunnel_FB_2025_05_30_JAS_JH_Madlain_10-30-54,824.5166666666667,49471,848.5666666666667,50914.0,Madlain,latency,latency,,,,
60,Tunnel_FB_2025_07_03_FL_JAS_Ramses_16-57-29,766.6833333333333,46001,800.2166666666667,48013.0,Ramses,man_check_duration,man_check_duration,,,,
61,Tunnel_FB_2025_07_03_FL_JAS_Ramses_16-57-29,767.25,46035,800.1,48006.0,Ramses,latency,latency,,,,
62,Tunnel_FB_2025_06_24_JAS_JH_Filou11_16-24-30,845.3333333333334,50720,874.5833333333334,52475.0,Filou11,man_check_duration,man_check_duration,,,,
63,Tunnel_FB_2025_06_24_JAS_JH_Filou11_16-24-30,846.15,50769,850.4333333333333,51026.0,Filou11,latency,latency,,,,
64,Tunnel_FB_2025_05_30_JAS_JH_Calea_11-39-39,764.4825231349706,45869,793.9658252219087,47638.0,Calea,man_check_duration,man_check_duration,,,,
65,Tunnel_FB_2025_05_30_JAS_JH_Calea_11-39-39,765.5325220221821,45932,767.0825203794943,46025.0,Calea,latency,latency,,,,
66,Tunnel_FB_2025_06_05_JH_JAS_Alma_11-04-27,765.0491824107118,45903,797.5658143276518,47854.0,Alma,man_check_duration,man_check_duration,,,,
67,Tunnel_FB_2025_06_05_JH_JAS_Alma_11-04-27,765.6658484183625,45940,782.0491642432484,46923.0,Alma,latency,latency,,,,
68,Tunnel_FB_2025_05_30_JH_JAS_Toffee6_Part2_13-57-00,978.4166666666666,58705,1012.7166666666667,60763.0,Toffee6,man_check_duration,man_check_duration,,,,
69,Tunnel_FB_2025_05_30_JH_JAS_Toffee6_Part2_13-57-00,979.7833333333333,58787,1012.6166666666667,60757.0,Toffee6,latency,latency,,,,
70,Tunnel_FB_2025_06_19_JAS_JH_Ivy6_10-37-07,694.6666666666666,41680,725.2,43512.0,Ivy6,man_check_duration,man_check_duration,,,,
71,Tunnel_FB_2025_06_19_JAS_JH_Ivy6_10-37-07,695.3,41718,725.0833333333334,43505.0,Ivy6,latency,latency,,,,
72,Tunnel_FB_2025_06_06_JH_FL_Flynn4_11-01-06,786.5661236212931,47194,821.9827658363045,49319.0,Flynn4,man_check_duration,man_check_duration,,,,
73,Tunnel_FB_2025_06_06_JH_FL_Flynn4_11-01-06,810.9661067755409,48658,821.9160992156644,49315.0,Flynn4,latency,latency,,,,
74,Tunnel_FB_2025_06_12_JAS_FL_Pasha_14-17-26,1122.7333333333333,67364,1152.2333333333333,69134.0,Pasha,man_check_duration,man_check_duration,,,,
75,Tunnel_FB_2025_06_12_JAS_FL_Pasha_14-17-26,1124.0666666666666,67444,1137.45,68247.0,Pasha,latency,latency,,,,
76,Tunnel_FB_2025_06_16_JAS_FL_Kimi2_12-50-20,782.95,46977,813.0666666666667,48784.0,Kimi2,man_check_duration,man_check_duration,,,,
77,Tunnel_FB_2025_06_16_JAS_FL_Kimi2_12-50-20,783.1,46986,813.0166666666667,48781.0,Kimi2,latency,latency,,,,
78,Tunnel_FB_2025_06_19_FL_JAS_Clooney2_13-22-49,796.5666666666667,47794,834.1333333333333,50048.0,Clooney2,man_check_duration,man_check_duration,,,,
79,Tunnel_FB_2025_06_19_FL_JAS_Clooney2_13-22-49,801.15,48069,807.95,48477.0,Clooney2,latency,latency,,,,
80,Tunnel_FB_2025_06_16_JAS_FL_Louie3_16-05-06,707.65,42459,737.4666666666667,44248.0,Louie3,man_check_duration,man_check_duration,,,,
